Composition,doi,Phase,Density (g/cm3),Hardness (GPa),YS (MPa) at 23 C,YS (MPa) at 1000 C,YS (MPa) at 1200 C,Test Type
FeCoCrNiMnTi0.1C0.1,10.1016/j.vacuum.2019.04.043,,7.64,,1652,,,C
FeCoCrNiMnTi0.1C0.1,10.1016/j.vacuum.2019.04.043,,7.66,,1490,,,C
FeCoCrNiMnTi0.1C0.1,10.1016/j.vacuum.2019.04.043,,7.69,,1194,,,C
NbMoTaWVCr,10.1016/j.jallcom.2018.11.318,,,,3416,,,C
NbMoTaWV,10.1016/j.jallcom.2018.11.318,,,,2612,,,C
NbMoTaWV,10.1016/j.jallcom.2018.11.318,,,,1246,,,C
NbMoTaWTi,10.1016/j.jallcom.2018.11.318,,,,1343,,,C
NbMoTaWVTi,10.1016/j.jallcom.2018.11.318,,,,1515,,,C
TiZrNbTaMo,10.1016/j.jallcom.2018.11.318,,,,1390,,,C
NbCrMo0.5Ta0.5TiZr,10.1016/j.jallcom.2018.11.318,,,,1595,,,C
AlNbTiV,10.1016/j.jallcom.2018.11.318,,,,1020,,,C
HfMoNbTaTiZr,10.1016/j.jallcom.2018.11.318,,,,1512,,,C
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,,,,315,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,,,,370,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,,,,260,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,,,,250,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,,,,330,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,,,,280,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,,,,280,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,,,,350,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,,,,298,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,,,,280,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,,,,400,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,,,,860,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,,,,690,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,,,,550,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,,,,260,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC,,,159,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+B2,,,215,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+L12,,,285,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC,,,263,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+L12+B2,,,490,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+L12,,,175,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+L12,,,305,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+BCC,,,280,,,T
AlCoCrFeNi,10.1016/j.matchar.2018.06.036,,,,1380,,,
AlCoCrFeNi,10.1016/j.matchar.2018.06.036,,,,1430,,,
AlCoCrFeNi,10.1016/j.matchar.2018.06.036,,,,1690,,,
AlCoCrFeNi,10.1016/j.matchar.2018.06.036,,,,1220,,,
AlCoCrFeNi,10.1016/j.matchar.2018.06.036,,,,1450,,,
AlCoCrFeNi,10.1016/j.matchar.2018.06.036,BCC+B2,,,395,,,T
AlCoCrFeNi,10.1016/j.matchar.2018.06.036,BCC+FCC,,,900,,,T
Al17Co17Cr17Fe17Ni33.3,10.1016/j.matchar.2018.06.036,L12+B2,,,545,,,T
Al16Co16Cr16Fe16Ni34.4,10.1016/j.matchar.2018.06.036,L12+B2,,,545,,,T
Al16Co16Cr16Fe16Ni35.5,10.1016/j.matchar.2018.06.036,L12+B2,,,545,,,T
Co35Cr15Fe20Ni20Mo10,10.1016/j.matchar.2018.06.036,FCC,,,350,,,T
Co35Cr15Fe20Ni20Mo10,10.1016/j.matchar.2018.06.036,FCC+u,,,1311,,,T
Co35Cr15Fe20Ni20Mo10,10.1016/j.matchar.2018.06.036,FCC+u,,,1212,,,T
Co35Cr15Fe20Ni20Mo10,10.1016/j.matchar.2018.06.036,FCC+u,,,1028,,,T
Co35Cr15Fe20Ni20Mo10,10.1016/j.matchar.2018.06.036,FCC+u,,,879,,,T
Co35Cr15Fe20Ni20Mo10,10.1016/j.matchar.2018.06.036,FCC+u,,,799,,,T
Co35Cr15Fe20Ni20Mo10,10.1016/j.matchar.2018.06.036,FCC,,,350,,,T
Co25Cr25Fe25Ni25,10.1016/j.matchar.2018.06.036,FCC,,,155,,,T
Co24Cr24Fe24Ni24Mo2,10.1016/j.matchar.2018.06.036,,,,198.8,,,T
Co24Cr24Fe24Ni24Mo5,10.1016/j.matchar.2018.06.036,,,,254.7,,,T
Co23Cr23Fe23Ni23Mo7,10.1016/j.matchar.2018.06.036,FCC+s,,,305.3,,,T
Co23Cr23Fe23Ni23Mo7,10.1016/j.matchar.2018.06.036,FCC+s+u,,,815.5,,,T
Co23Cr23Fe23Ni23Mo7,10.1016/j.matchar.2018.06.036,FCC+s+u,,,646.7,,,T
Co23Cr23Fe23Ni23Mo7,10.1016/j.matchar.2018.06.036,FCC+s+u,,,683.7,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,,,,243,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,,,,249,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,,,,446,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,,,,581,,,T
Al8Co17Cr17Cu8Fe17Ni33,10.1016/j.matchar.2018.06.036,FCC+L12,,,357,,,T
Al8Co17Cr17Cu8Fe17Ni33,10.1016/j.matchar.2018.06.036,FCC+L12,,,215,,,T
Al10Co25Cr8Fe15Ni36Ti6,10.1016/j.matchar.2018.06.036,FCC+L12+C1,,,568,,,T
Al10Co25Cr8Fe15Ni36Ti6,10.1016/j.matchar.2018.06.036,FCC+L12+C1,,,596,,,T
Al10Co25Cr8Fe15Ni36Ti6,10.1016/j.matchar.2018.06.036,FCC+L12+C1,,,487,,,T
Al10Co25Cr8Fe15Ni36Ti6,10.1016/j.matchar.2018.06.036,FCC+L12+C1,,,486,,,T
Al17Cr17Fe33Ni33,10.1016/j.matchar.2018.06.036,FCC+BCC+B2,,,780,,,T
AlCoCrFeNi,10.1016/j.matchar.2018.06.036,BCC+B2,,,395,,,T
AlCoCrFeNi,10.1016/j.matchar.2018.06.036,BCC+FCC,,,900,,,T
Al17Cr17Co17Fe17Ni33.3,10.1016/j.matchar.2018.06.036,FCC+B2,,,545,,,T
Al16Cr16Co16Fe16Ni34.4,10.1016/j.matchar.2018.06.036,FCC+B2,,,545,,,T
Al16Cr16Co16Fe16Ni35.5,10.1016/j.matchar.2018.06.036,FCC+B2,,,545,,,T
Al4Co19Cr19Cu4Fe19Ni37,10.1016/j.matchar.2018.06.036,FCC,,,719,,,T
Al4Co19Cr19Cu4Fe19Ni37,10.1016/j.matchar.2018.06.036,FCC+L12,,,460,,,T
Al10Co25Cr8Fe15Ni36Ti6,10.1016/j.matchar.2018.06.036,FCC+L12+C1,,,568,,,T
Al10Co25Cr8Fe15Ni36Ti6,10.1016/j.matchar.2018.06.036,FCC+L12+C1,,,596,,,T
Al8Co17Cr17Cu8Fe17Ni33,10.1016/j.matchar.2018.06.036,FCC+L12+Cr23C6,,,357,,,T
Al8Co17Cr17Cu8Fe17Ni33,10.1016/j.matchar.2018.06.036,FCC+L12+Cr23C6,,,365,,,T
Al8Co17Cr17Cu8Fe17Ni33,10.1016/j.matchar.2018.06.036,FCC+L12,,,215,,,T
CoCrFeNi,10.1016/j.matchar.2018.06.036,FCC,,,190,,,T
Al4Co24Cr24Fe24Ni24,10.1016/j.matchar.2018.06.036,FCC,,,210,,,T
Al4Co24Cr24Fe24Ni24,10.1016/j.matchar.2018.06.036,FCC+L12+L21,,,645,,,T
Al4Co24Cr24Fe24Ni24,10.1016/j.matchar.2018.06.036,FCC+L12+L21,,,1005,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,FCC,,,243,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,FCC,,,249,,,T
Co17Cr17Fe17Mn17Ni17C2,10.1016/j.matchar.2018.06.036,FCC+carbide,,,446,,,T
Co17Cr17Fe17Mn17Ni17C2,10.1016/j.matchar.2018.06.036,FCC+carbide,,,581,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,FCC,,,370,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,FCC+hcp,,,250,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,FCC+hcp,,,330,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,FCC+hcp,,,280,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,FCC+hcp,,,350,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,FCC+hcp,,,298,,,T
Co10Cr10Fe50Mn30,10.1016/j.matchar.2018.06.036,FCC+hcp,,,400,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+B2,,,860,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+B2,,,690,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+B2,,,550,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC,,,260,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC,,,159,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+B2,,,215,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+L12,,,285,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC,,,263,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+L12+B2,,,490,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+L12,,,175,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+L12,,,305,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+BCC,,,280,,,T
Al12Cr18Co18Fe36Ni18,10.1016/j.matchar.2018.06.036,BCC+B2,,,866,,,T
Co35Cr15Fe20Mo10Ni20,10.1016/j.matchar.2018.06.036,FCC,,,350,,,T
Co35Cr15Fe20Mo10Ni20,10.1016/j.matchar.2018.06.036,FCC+u,,,1311,,,T
Co35Cr15Fe20Mo10Ni20,10.1016/j.matchar.2018.06.036,FCC+u,,,1212,,,T
Co35Cr15Fe20Mo10Ni20,10.1016/j.matchar.2018.06.036,FCC+u,,,1028,,,T
Co35Cr15Fe20Mo10Ni20,10.1016/j.matchar.2018.06.036,FCC+u,,,879,,,T
Co35Cr15Fe20Mo10Ni20,10.1016/j.matchar.2018.06.036,FCC+u,,,799,,,T
CoCrFeNi,10.1016/j.matchar.2018.06.036,FCC,,,155,,,T
Co24Cr24Fe24Mo2Ni24,10.1016/j.matchar.2018.06.036,,,,198.8,,,T
Co24Cr24Fe24Mo5Ni24,10.1016/j.matchar.2018.06.036,,,,254.7,,,T
Co23Cr23Fe23Mo7Ni23,10.1016/j.matchar.2018.06.036,FCC+s,,,305.3,,,T
Co23Cr23Fe23Mo7Ni23,10.1016/j.matchar.2018.06.036,FCC+s+u,,,815.5,,,T
Co23Cr23Fe23Mo7Ni23,10.1016/j.matchar.2018.06.036,FCC+s+u,,,646.7,,,T
Co23Cr23Fe23Mo7Ni23,10.1016/j.matchar.2018.06.036,FCC+s+u,,,683.7,,,T
Al9Co18Cr18Cu18Fe18Ni18,10.1016/j.matchar.2018.06.036,FCC1+FCC2,,,1284,,,T
Al9Co18Cr18Cu18Fe18Ni18,10.1016/j.matchar.2018.06.036,FCC,,,1290,,,T
Al9Co18Cr18Cu18Fe18Ni18,10.1016/j.matchar.2018.06.036,FCC1+FCC2,,,650,,,T
AlCoCrCuFeNi,10.1016/j.matchar.2018.06.036,BCC+FCC1+FCC2,,,790,,,T
AlCoCrCuFeNi,10.1016/j.matchar.2018.06.036,BCC+FCC1+FCC2+s,,,1040,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,FCC,,,209,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC,,,210,,,T
Al8Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+BCC,,,242,,,T
Al9Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+BCC,,,275,,,T
Al10Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+BCC,,,320,,,T
Al11Co22Cr22Fe22Ni22,10.1016/j.matchar.2018.06.036,FCC+BCC,,,500,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC+BCC+B2,,,832,,,T
Al4Co19Cr19Cu4Fe19Ni37,10.1016/j.matchar.2018.06.036,FCC,,,719,,,T
Al4Co24Cr24Fe24Ni24,10.1016/j.matchar.2018.06.036,FCC,,,210,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC,,,260,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC,,,159,,,T
Al7Co23Cr23Fe23Ni23,10.1016/j.matchar.2018.06.036,FCC,,,210,,,T
Al9Co18Cr18Cu18Fe18Ni18,10.1016/j.matchar.2018.06.036,FCC,,,1290,,,T
Co35Cr15Fe20Mo10Ni20,10.1016/j.matchar.2018.06.036,FCC,,,350,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,FCC,,,243,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,FCC,,,249,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,FCC,,,370,,,T
CoCrFeMnNi,10.1016/j.matchar.2018.06.036,FCC,,,209,,,T
CoCrFeNi,10.1016/j.matchar.2018.06.036,FCC,,,190,,,T
CoCrFeNi,10.1016/j.matchar.2018.06.036,FCC,,,155,,,T
AlCoCrFeNi,10.1016/j.matchar.2018.06.036,BCC+B2,,,395,,,T
AlCoCrFeNi,10.1016/j.matchar.2018.06.036,BCC+B2+FCC+s,,,295,,,T
AlCoCrCuFeNi,10.1016/j.matchar.2018.06.036,BCC+FCC1+FCC2,,,350,,,T
AlCoCrCuFeNi,10.1016/j.matchar.2018.06.036,BCC+FCC1+FCC2+s,,,63,,,T
Al9Co18Cr18Cu18Fe18Ni18,10.1016/j.matchar.2018.06.036,FCC,,,180,,,T
Al9Co18Cr18Cu18Fe18Ni18,10.1016/j.matchar.2018.06.036,FCC1+FCC2,,,160,,,T
Al10Co25Cr8Fe15Ni36Ti6,10.1016/j.matchar.2018.06.036,FCC+L12+C1,,,487,,,T
Al10Co25Cr8Fe15Ni36Ti6,10.1016/j.matchar.2018.06.036,FCC+L12+C1,,,486,,,T
Al12Cr18Co18Fe36Ni18,10.1016/j.matchar.2018.06.036,BCC+B2,,,220,,,T
Al9Co18Cr18Cu18Fe18Ni18,10.1016/j.matchar.2018.06.036,FCC,,,180,,,T
FeCoNiCrMn,10.1016/j.mtla.2019.100259,,,,209,,,T
(FeCoNiCrMn)80Al20,10.1016/j.mtla.2019.100259,,,,1174,,,T
CoCrFeNi,10.1016/j.mtla.2019.100259,,,,180,,,T
CoCrFeNiMo0.3,10.1016/j.mtla.2019.100259,,,,300,,,T
CoCrFeNi,10.1016/j.mtla.2019.100259,,,,147,,,T
CoCrFeNiNb0.412,10.1016/j.mtla.2019.100259,,,,637,,,T
CoCrFeMnNi,10.1016/j.mtla.2019.100259,,,,230,,,C
CoCrFeMnNiV,10.1016/j.mtla.2019.100259,,,,1660,,,C
CoCrFeNi,10.1016/j.mtla.2019.100259,,,,136,,,C
CoCrFeNiTi0.5,10.1016/j.mtla.2019.100259,,,,877,,,C
AlCoCrCuFeNi,10.1016/j.mtla.2019.100259,,,,1051,,,C
AlCoCrCuFeNiMo0.5,10.1016/j.mtla.2019.100259,,,,2751,,,C
AlCoCrFeNi,10.1016/j.mtla.2019.100259,,,,1378.9,,,C
AlCoCrFeNiV,10.1016/j.mtla.2019.100259,,,,1726.5,,,C
AlCoCrFeNi,10.1016/j.mtla.2019.100259,,,,1373,,,C
AlCoCrFeNb0.5Ni,10.1016/j.mtla.2019.100259,,,,2473,,,C
AlCoCrFeNi,10.1016/j.mtla.2019.100259,,,,1320,,,C
AlCoCrFeNiZr0.5,10.1016/j.mtla.2019.100259,,,,2250,,,C
AlCoCrFeNi,10.1016/j.mtla.2019.100259,,,,1110,,,C
AlCoCrFeNiSi,10.1016/j.mtla.2019.100259,,,,2411,,,C
AlCoCrFeNi,10.1016/j.mtla.2019.100259,,,,1138,,,C
AlCoCrFeNiC1.5,10.1016/j.mtla.2019.100259,,,,1255,,,C
CoCoFeNiTi0.3,10.1016/j.msea.2019.138181,,,,540,,,T
Co0.5CoFeNi1.5Ti0.3,10.1016/j.msea.2019.138181,,,,586,,,T
CoFeNi2Ti0.3,10.1016/j.msea.2019.138181,,,,672,,,T
Al0.3CoCrFeNi,10.1016/j.msea.2019.03.010,,,,246,,,
Al0.3CoCrFeNi,10.1016/j.msea.2019.03.010,,,,258,,,
Al0.3CoCrFeNi,10.1016/j.msea.2019.03.010,,,,306,,,
Al0.3CoCrFeNi,10.1016/j.msea.2019.03.010,,,,325,,,
Al0.3CoCrFeNi,10.1016/j.msea.2019.03.010,,,,361,,,
Al0.3CoCrFeNi,10.1016/j.msea.2019.03.010,,,,400,,,
Ti40Al10V20Nb20Mo10,10.1016/j.msea.2019.03.054,BCC,6.102,,900,155,,
Ti35Al15V20Nb20Mo10,10.1016/j.msea.2019.03.054,BCC,6.027,,971,160,,
Ti30Al20V20Nb20Mo10,10.1016/j.msea.2019.03.054,BCC,5.876,,1187,180,,
CoCrFeNiNb0.5,10.1016/j.jallcom.2018.10.138,FCC+Laves,,,1280,,,C
CoCrFeNiNb0.65,10.1016/j.jallcom.2018.10.138,FCC+Laves,,,1542,,,C
CoCrFeNiNb0.8,10.1016/j.jallcom.2018.10.138,FCC+Laves,,,1786,,,C
Ti1.89CrNbV0.56,10.1016/j.matchar.2019.109980,BCC,6.17,,1020,,,T
HfNbTaTiZr,10.1016/j.matchar.2019.109980,BCC,9.89,,1438,,,T
HfNbTaTiZr,10.1016/j.matchar.2019.109980,BCC,9.89,,1114,,,T
Hf0.5Nb0.5Ta0.5Ti1.5Zr,10.1016/j.matchar.2019.109980,BCC,8.13,,903,,,T
HfNb0.18Ta0.18Ti1.27Zr,10.1016/j.matchar.2019.109980,BCC,8.48,,540,,,T
AlCoCrFeNiTi0.5,10.1016/j.triboint.2018.10.012,BCC+B2,,,2260,,,
AlCoCrFeNiCu,10.1016/j.triboint.2018.10.012,BCC+B2,,,1170,,,
CrFeNiNb0.1Ti2,10.1016/j.msea.2019.138212,,,,1250,,,C
CrFeNiNb0.1Ti3,10.1016/j.msea.2019.138212,,,,1450,,,C
CrFeNiNb0.1Ti4,10.1016/j.msea.2019.138212,,,,2223,,,C
Zr20Ti20Cu20Ni20Be20,10.1016/j.intermet.2019.106561,,,135,2360,,,
Zr41.2Ti13.8Cu12.5Ni10Be22.5,10.1016/j.intermet.2019.106561,,,97,1850,,,
Zr44Ti11Cu9.8Ni10.2Be25,10.1016/j.intermet.2019.106561,,,96,1810,,,
Zr46.75Ti8.25Cu7.5Ni10Be27.5,10.1016/j.intermet.2019.106561,,,100,1830,,,
Ti32.8Zr30.2Cu9Ni5.3Be22.7,10.1016/j.intermet.2019.106561,,,98,1830,,,
Ti40Zr25Cu12Ni3Be20,10.1016/j.intermet.2019.106561,,,93,1760,,,
Ti40Zr25Cu9Ni8Be18,10.1016/j.intermet.2019.106561,,,95,1720,,,
Ti60Zr5Cu9Ni8Be18,10.1016/j.intermet.2019.106561,,,106,2120,,,
Al1.5CoCrFeNiTi0.5,10.1016/j.jallcom.2019.07.100,,,,1566,,,C
CoCrCuFeNiTi0.8,10.1016/j.jallcom.2019.07.100,,,,1042,,,C
CoCrCuFeNiTi1.0,10.1016/j.jallcom.2019.07.100,,,,1272,,,
AlC0.1CoCrFeNi,10.1016/j.jallcom.2019.07.100,,,,957,,,C
AlC0.2CoCrFeNi,10.1016/j.jallcom.2019.07.100,,,,906,,,C
AlC0.3CoCrFeNi,10.1016/j.jallcom.2019.07.100,,,,867,,,C
AlC0.4CoCrFeNi,10.1016/j.jallcom.2019.07.100,,,,1056,,,C
AlC0.5CoCrFeNi,10.1016/j.jallcom.2019.07.100,,,,1060,,,C
AlCoCrFeNi,10.1016/j.jallcom.2019.07.100,,,,1300,,,C
Al0.8CoCrFeNiTi0.2,10.1016/j.jallcom.2019.07.100,,,,968,,,C
Al0.5CoCrFeNiTi0.5,10.1016/j.jallcom.2019.07.100,,,,1100,,,C
AlCoCuFeNi,10.1016/j.jallcom.2019.07.100,,,,1060,,,C
AlCoCuFeNiCr,10.1016/j.jallcom.2019.07.100,,,,1285,,,C
AlCoCuFeNiTi,10.1016/j.jallcom.2019.07.100,,,,1612,,,C
AlCoCuFeNiCrTi,10.1016/j.jallcom.2019.07.100,,,,1523,,,C
AlCrFeNi,10.1016/j.jallcom.2019.07.100,,,,1271,,,C
AlCo0.25CrFeNi,10.1016/j.jallcom.2019.07.100,,,,1363,,,C
AlCo0.5CrFeNi,10.1016/j.jallcom.2019.07.100,,,,1349,,,C
AlCo0.75CrFeNi,10.1016/j.jallcom.2019.07.100,,,,1331,,,C
AlCoCrFeNi,10.1016/j.jallcom.2019.07.100,,,,1313,,,C
CoCrFeMn,10.1016/j.jallcom.2019.07.100,,,,338,,,C
AlCoCrFeNiTi0.5,10.1016/j.jallcom.2019.07.100,,,,2260,,,C
AlCoCrFeNiTi,10.1016/j.jallcom.2019.07.100,,,,1860,,,C
AlCoCrFeNiTi1.5,10.1016/j.jallcom.2019.07.100,,,,2220,,,C
Al2CoCrFeNi,10.1016/j.jallcom.2019.07.100,,,,1241,,,C
Al1.8CoCrFeNiTi0.2,10.1016/j.jallcom.2019.07.100,,,,1324,,,C
Al1.5CoCrFeNiTi0.5,10.1016/j.jallcom.2019.07.100,,,,1566,,,C
Al1.2CoCrFeNiTi0.8,10.1016/j.jallcom.2019.07.100,,,,1503,,,C
AlCoCrFeNiTi,10.1016/j.jallcom.2019.07.100,,,,1448,,,C
Al0.8CoCrFeNiTi1.2,10.1016/j.jallcom.2019.07.100,,,,1272,,,C
Fe20Mn20Cr20Ni20Co20,10.1016/j.matlet.2020.128183,,,,163,,,T
Fe20Mn20Cr20Ni20Co19N1,10.1016/j.matlet.2020.128183,,,,302,,,T
Fe20Mn20Cr20Ni20Co17N3,10.1016/j.matlet.2020.128183,,,,349,,,T
Fe20Mn20Cr20Ni20Co19C1,10.1016/j.matlet.2020.128183,,,,282,,,T
Fe20Mn20Cr20Ni20Co17C3,10.1016/j.matlet.2020.128183,,,,306,,,T
Al5Ti5Co35Ni35Fe20,10.1016/j.jmrt.2019.10.084,FCC,,,775,490,,
Fe33.3Ni33.3Co33.3,10.1016/j.actamat.2020.09.027,,,,175,,,T
Fe33.0Ni33.0Co33.0Ti1.0,10.1016/j.actamat.2020.09.027,,,,187,,,T
Fe32.7Ni32.7Co32.7Ti2.0,10.1016/j.actamat.2020.09.027,,,,222,,,T
Fe32.3Ni32.3Co32.2Ti3.0,10.1016/j.actamat.2020.09.027,,,,241,,,T
Fe32.0Ni32.0Co32.0Ti4.0,10.1016/j.actamat.2020.09.027,,,,263,,,T
Fe33.3Ni16.7Co50.0,10.1016/j.actamat.2020.09.027,,,,188,,,T
Fe33.0Ni16.3Co49.7Ti1.0,10.1016/j.actamat.2020.09.027,,,,194,,,T
Fe32.7Ni16.0Co49.3Ti2.0,10.1016/j.actamat.2020.09.027,,,,212,,,T
Fe32.3Ni15.7Co49.0Ti3.0,10.1016/j.actamat.2020.09.027,,,,233,,,T
Fe32.0Ni15.3Co48.7Ti4.0,10.1016/j.actamat.2020.09.027,,,,248,,,T
Fe50.0Ni33.3Co16.7,10.1016/j.actamat.2020.09.027,,,,196,,,T
Fe49.7Ni33.0Co16.3Ti1.0,10.1016/j.actamat.2020.09.027,,,,212,,,T
Fe49.3Ni32.7Co16.0Ti2.0,10.1016/j.actamat.2020.09.027,,,,215,,,T
Fe49.0Ni32.2Co15.7Ti3.0,10.1016/j.actamat.2020.09.027,,,,254,,,T
Fe48.7Ni32.0Co15.3Ti4.0,10.1016/j.actamat.2020.09.027,,,,261,,,T
Fe33.3Ni50.0Co16.7,10.1016/j.actamat.2020.09.027,,,,165,,,T
Fe33.0Ni49.7Co16.3Ti1.0,10.1016/j.actamat.2020.09.027,,,,187,,,T
Fe32.7Ni49.3Co16.0Ti2.0,10.1016/j.actamat.2020.09.027,,,,192,,,T
Fe32.3Ni49.0Co15.7Ti3.0,10.1016/j.actamat.2020.09.027,,,,209,,,T
Fe32.0Ni48.7Co15.3Ti4.0,10.1016/j.actamat.2020.09.027,,,,270,,,T
Fe10Ni51Co7Cr32,10.1016/j.actamat.2020.09.027,,,,241,,,
Fe12Ni40Co18Cr30,10.1016/j.actamat.2020.09.027,,,,239,,,
Fe18Ni40Co12Cr30,10.1016/j.actamat.2020.09.027,,,,217,,,
Fe15Ni39Co16Cr30,10.1016/j.actamat.2020.09.027,,,,239,,,
Fe25Ni35Co10Cr30,10.1016/j.actamat.2020.09.027,,,,209,,,
Fe11Ni24Co37Cr28,10.1016/j.actamat.2020.09.027,,,,259,,,
Fe10Ni37Co25Cr28,10.1016/j.actamat.2020.09.027,,,,273,,,
Fe14Ni41Co17Cr28,10.1016/j.actamat.2020.09.027,,,,269,,,
Fe20Ni23Co32Cr25,10.1016/j.actamat.2020.09.027,,,,223,,,
Fe11Ni33Co31Cr25,10.1016/j.actamat.2020.09.027,,,,239,,,
Fe25Ni25Co25Cr25,10.1016/j.actamat.2020.09.027,,,,207,,,
Fe23Ni29Co23Cr25,10.1016/j.actamat.2020.09.027,,,,233,,,
Fe30Ni26Co19Cr25,10.1016/j.actamat.2020.09.027,,,,223,,,
Fe11Ni25Co44Cr20,10.1016/j.actamat.2020.09.027,,,,225,,,
Fe15Ni47Co18Cr20,10.1016/j.actamat.2020.09.027,,,,217,,,
Fe45Ni23Co12Cr20,10.1016/j.actamat.2020.09.027,,,,177,,,
Fe25Ni19Co41Cr15,10.1016/j.actamat.2020.09.027,,,,205,,,
Fe15Ni33Co37Cr15,10.1016/j.actamat.2020.09.027,,,,205,,,
Fe17Ni39Co29Cr15,10.1016/j.actamat.2020.09.027,,,,215,,,
Fe42Ni22Co21Cr15,10.1016/j.actamat.2020.09.027,,,,193,,,
Fe27Ni29Co34Cr10,10.1016/j.actamat.2020.09.027,,,,175,,,
Fe32Ni26Co32Cr10,10.1016/j.actamat.2020.09.027,,,,167,,,
Fe33Ni30Co27Cr10,10.1016/j.actamat.2020.09.027,,,,169,,,
Fe5Ni58Co27Cr10,10.1016/j.actamat.2020.09.027,,,,199,,,
Fe30Ni37Co23Cr10,10.1016/j.actamat.2020.09.027,,,,183,,,
Fe30Ni22Co43Cr5,10.1016/j.actamat.2020.09.027,,,,159,,,
